date,Total,california,Florida,Illinois,Pennsylvania,Ohio
2002,88558206,1148836167,686581858,16284782,392642400,71082755
2003,83540588,1195852817,694147130,22538407,386142563,95911940
2004,82110272,1240508053,698363141,31451099,361144916,73398981
2005,96446977,1374412804,704236235,48837518,351015320,101100241
2006,99597884,1631887282,828601218,72199111,380863857,98627600
2007,100411671,1620666247,789142240,111914367,397821581,105063181
2008,97578069,1585430382,767479362,122512008,362440537,109665375
2009,87209758,1521317909,662921254,100543918,280890781,101719703
2010,90353716,1578205773,652054991,129350786,311936133,100210415
2011,87494225,1668121485,600947493,163771112,280736673,115867733
2012,78403307,1780838195,612335989,180930179,243315315,110740768
2013,60990882,1861629388,568978539,179862067,231047571,108061495
2014,65037841,2152870946,542067060,224332138,207130600,82245572
2015,66504137,2271799863,570892012,271021757,201833297,106222316
